分类,状态量,状态描述,诊断分析,检修决策,报告名称
输电线路,nan,故障,"['500kV济淄I线#165塔小号侧25米处C相#3子导线有放电痕迹', '初步判断为烧荒引起烟火', '浓烟导致放电5）据现场老百姓反映', '烧荒人孙方茂在11时30分返回时', '，20分钟便将周边鸭棚烧尽', '20分钟便将周边鸭棚烧尽', '燃烧过程中线路先后发生两声巨响及火球图1线路周边着火情况图2线路附近鸭棚着火情况故障分析根据故障电流来分析', '本次故障为金属性接地故障综合考虑故障区段现场及故障特征', '初步确定此处为烧荒烟火造成导线对地短路放电济淄I线#165塔附近鸭棚全部烧光、部分树木被烟火焚烧根据以上情况', '确认济淄I线#165塔为故障点据现场老百姓反映', '烧荒人孙方茂在11时30分返回时', '，20分钟便将周边鸭棚烧尽', '20分钟便将周边鸭棚烧尽', '燃烧过程中济淄I线先后发生两声巨响及火球', '此区段未发生同类故障', '，应急队伍到达现场', '，故障巡视结果线下明火已被扑灭', '故障巡视结果线下明火已被扑灭', '，消防人员正紧急灭火济淄I线线路全长66.7公里', '消防人员正紧急灭火济淄I线线路全长66.7公里', '全线共有铁塔175基', '运维单位是国网山东省电力公司检修公司济南运维分部和淄博运维分部', '，设计敷冰厚度10毫米故障区段为平原', '设计敷冰厚度10毫米故障区段为平原', '，周边治安情况良好气候类型温带', '周边治安情况良好气候类型温带', '，风速不大于30m/s该故障区段自投运以来', '风速不大于30m/s该故障区段自投运以来', '截至2015年3月11日', '未发生过任何故障3月11日11时至14时', '，气温10℃', '，风速3级到达现场时', '，线路附近仍有明火', '，消防人员正紧急灭火。经现场登塔核实', '，发现#165号塔C相（右相）导线3#子导线有较为明显的放电痕迹', '发现#165号塔C相导线3#子导线有较为明显的放电痕迹', '#165塔附近有明显的鸭棚着火痕迹']","('需停电处理', 'B类修检', ['对防山火重点区段排查不够全面', '没有及时拓宽防护范围3.防山火预警系统及其它技防措施应用有待加强。此次烧荒烟火短路没有提前得到预报', '线路跳闸区段没有安装防山火类在线监测装置', '春季、清明等特殊时期加强特巡1.进一步加强输电线路通道运维与防外破防山火工作进一步梳理所辖线路防山火区域和隐患重点地段', '清除周围杂草、枯死树木和堆积的易燃物2.进一步加强护线宣传工作', '按线路重要程度适当安装在线监测装置或预警系统'])",11-省检-500kV济淄Ⅰ线故障分析报告-重合不成-外力破坏-山火-20150311
输电线路,nan,故障,"['220kV母联在进行红外热成像检测时', '发现线夹与导线爆破压接处温度分布异常并对该爆破压接处进行精确测温', '选择成像的角度、色度', '，所示', '，并将此情况上报生技科对图谱的认真分析后发现220kV母联爆破压接处温度异常', '并将此情况上报生技科对图谱的认真分析后发现220kV母联爆破压接处温度异常', '表面最高温度112℃', '正常值为-15.3℃', '根据《DL/T644-2008带电设备红外诊断技术应用导则》中的公式计算', '相对温差δT为81.5%', '温升10K依据电流致热型设备缺陷诊断判据', '判断热像特征是以线夹和导线爆破压接处为中心的热像', '热点明显；故障特征为过热；缺陷性质为严重缺陷', '国网鸡西供电公司中心巡维站220kV母联2005年投入运行']","('需停电处理', 'B类修检', ['后经停电更换处理后发现爆破压接点与导线间接触不牢固、松动', '随即进行处理导线与金具为螺栓连接', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量导线与金具的连接采用压接形式', '避免由于螺栓强度不足造成接触面松动、压力下降尝试使用防止设备连接端子过热型紧固螺栓对已发现处理的严重过热刀闸', '结合停电及时检查同类设备在刀闸检修工作过程中', '重点关注动、静触头的烧伤情况尽量不使用爆破压接压接线夹。以上对设备检修工艺和质量提出了更高的要求', '保证检修质量', '而且在设备检修过程中对接头的处理将更具针对性'])",11-黑龙江-红外热像检测发现220kV导线过热
输电线路,导线,导线故障,"['A相导线上挂有塑料布', '结合A相导线闪络点痕迹', '初步确定是异物短路故障导线放电痕迹位于导线上方', '由此判断塑料布导致了导线与地线之间的绝缘距离不足', '巡检人员利用望远镜、相机等设备发现于046-047杆塔A相导线发现故障点现场巡视时', '导线异物短路现场照片如图1.2所示', '现场有塑料布挂在了导线及地线上', '导致导线与地线间绝缘距离不足']","('需停电处理', 'A类修检', ['未对废弃的塑料布进行加固处理', '设置警示大字、吊车排查、护线宣传、危险点治理、施工现场盯防。1.加强巡视力度', '将巡防工作做到实处做出实效3.对辖区内存在大棚隐患的线路进行排查', '建立隐患排查计划档案和进度档案', '做到全过程管控。4.并对大棚户主继续加强护线宣传'])",111-济南-220kV黄济线046-047故障分析报告-重合不成-外力破坏-异物短路-20160910
输电线路,杆塔,杆塔故障,"['起止杆塔号#1~#108', '故障杆塔所属耐张段为#27+3~#34号']","('需停电处理', 'B类修检', ['未做好过程管控运行维护单位对该施工点未有针对性的开展巡视', '确保奖惩分明加强外委队伍管理', '切实提高线路防护人员发现隐患、处置隐患的能力强化外破隐患的过程管控一是加强外破隐患点信息管控对外破隐患风险点进行全面排查、摸底', '特别是对青连铁路、济青高铁、修路等持续时间长、施工相对集中的区域要加强监视', '做好山火隐患排查'])",115-青岛-220kV上海II线故障分析报告-重合成功-外力破坏-吊车碰线-20160918
输电线路,nan,故障,"['220kV君泽II线113#鸟粪造成横担对下均压环及金具放电跳闸', '，分四组同时开展通道巡视和登杆检查', '分四组同时开展通道巡视和登杆检查', '，登塔人员检查发现220kV君泽II线113#塔C（中）相横担及绝缘子上、下均压环有表面放电痕迹', '登塔人员检查发现220kV君泽II线113#塔C相横担及绝缘子上、下均压环有表面放电痕迹', '不影响线路运行220kV君泽II线于2009年12月投运', '为省电力咨询院设计、力源送变电公司施工线路长度为50.286公里', '，输电运维一班巡视人员秦世奎巡视时未发现异常', '输电运维一班巡视人员秦世奎巡视时未发现异常', '']","('需停电处理', 'B类修检', ['对鸟粪污染和表面脏污的绝缘子及时安排清扫或更换包括鸟害防治技术要点、鸟害跳闸机理、不同风险等级区域防鸟装置配置进行差异化改造。根据鸟害特点开展状态巡视'])",116-枣庄-220kV君泽II线故障情况汇报-重合成功-鸟害-20161003
输电线路,杆塔,杆塔故障,"['巡检人员判断#100-#106号杆塔发生故障的几率较高', '且制定制定了以220kV平许线101号杆塔为中心', '当巡视人员巡视到220kV平许线#102杆塔时发现左线横担挂点处到地线之间缠有遮阳网', '同时巡视人员在220kV平许线#102杆塔接地装置也有明显放电痕迹合']","('需停电处理', 'B类修检', ['未能及时发现并处理悬挂在导线上的遮阳网', '没有对大棚集中区域进行有针对性的排查和治理', '5.1加强巡视力度', '将巡防工作做到实处做出实效5.3对辖区内存在大棚隐患的线路进行排查', '建立隐患排查计划档案和进度档案', '做到全过程管控。5.4并对大棚户主继续加强护线宣传'])",118-济南-220kV平许线故障分析报告-重合成功-外力破坏-异物短路-20161015
输电线路,nan,故障,"['故障发生时间为2016年3月3日16时14分', '，A相发生故障', '，故障后一个周波内', '，故障相一次电压由故障前的230.81千伏下降到8.911千伏', '故障相一次电压由故障前的230.81千伏下降到8.911千伏', '，故障相一次电流由故障前的0.349千安上升到10.159千安', '故障相一次电流由故障前的0.349千安上升到10.159千安', '电流上升29.1倍综上所述', '此次跳闸的保护动作表现为低阻性接地故障综合考虑故障区段的地理特征、气候特征、故障期间的现场情况等', '结合故障录波信息、闪络点痕迹等', '排除线路发生其他故障的可能性', '初步确定是吊车碰线故障', '220kV平许线#143-#144位于长清区归德镇北', '#143-#144位于220国道西侧', '220国道为南北走向', '当巡视人员巡视到220kV平许线#143-#144线段时发现导线上有明显的放电痕迹', '线下有移栽树木的树坑', '线路导线距#144杆小号侧的50米', '位于一苗圃上方的导线有放电麻点', '距离与故障录波测距基本吻合']","('需停电处理', 'B类修检', ['防控能力薄弱5.2运维人员对苗圃等潜在的隐患场所检查、监督不到位', '各属地单位在贯彻执行上较为机械', '及时调整巡视周期和频次', '近期将在苗圃、大棚、村落集中的重点线段安装视频监控设备20套', '因此对该区段进行了重点排查6.2根据运检部《关于开展输电线路防外力破坏行动的通知》要求', '联合属地单位开展沿线各类市政、绿化、吊装、道路建设排查、特种车辆防控排查、苗圃统计排查、棚膜、反光膜的集中清理工作等四项专项工作', '及早采取预防措施6.3加强对属地化护线工作的监督检查'])",12-济南-220kV平许线故障分析报告-重合不成-外力破坏-吊车碰线-20160303
输电线路,导线,导线故障,"['从远处旋着塑料薄膜刮落到左架空地线、合成绝缘子及导线上', '经巡视发现在220kV淄天线#66左架空地线、左相绝缘子及导线上缠绕3段塑料薄膜', '导线为2*LGJ-300/40']","('需停电处理', 'A类修检', ['查找护区管理漏洞', '完善线路护区漂浮物隐患统计对塑料地膜、塑料大棚及养殖大棚等漂浮物隐患进行深度排查', '对漂浮物易发区进行重点盯防3、加强对线路沿线单位及居民的电力设施保护安全警示教育制作针对输电线路护区内各类违章行为的不干胶警示贴'])",12-淄博-220kV淄天线故障分析报告-重合成功-外力破坏-异物短路-20150311
输电线路,nan,故障,"['两条线路当时的负荷电流分别是330A、350A', '环境温度6℃综合判定10kV团结线、和平线线路设备线夹存在过热缺陷10kV团结线58#台区在进行红外热像检测工作时', '发现线路多部位线夹温度分布异常', '于是重新选择合适的拍摄角度', '采用长焦镜头对线夹部位进行了精确测温', '红外和彩色复合照片如图一、图二两条线路内最大温差41℃、101℃', '根据《DL/T664-2008带电设备红外诊断应用规范》', '热像特征以线夹和接头为中心', '，结合现场实测数据与历年测试数据进行对比（见表一、表二）', '结合现场实测数据与历年测试数据进行对比', '红外温度与线路负荷电流大小有关', '，导线温度越高', '，定性为严重缺陷为进一步确定线夹接头部位处理后是否还存在缺陷', '定性为严重缺陷为进一步确定线夹接头部位处理后是否还存在缺陷', '又进行了直流电阻试验项目', '，确认线路线夹缺陷确已消除。凡是有接头部位', '确认线路线夹缺陷确已消除', '，在线路红外热像测量时', '在线路红外热像测量时', '应逐一测量各个接头部位', '，国网鹤岗供电公司10kV团结线58#台区', '国网鹤岗供电公司10kV团结线58#台区', '由10kV团结线与和平线同杆架设', '上下层布置2000年6月8日线路投入运行', '两条线路使用的JKLYJ-10-185mm2绝缘导线', '，在10kV团结线58#台区加装了柱上断路器。断路器为大连北方2000年3月生产的ZW32-12/630型真空开关', '在10kV团结线58#台区加装了柱上断路器断路器为大连北方2000年3月生产的ZW32-12/630型真空开关', '与引线连接采用SLG-4B铜铝过渡线夹']","('需停电处理', 'B类修检', ['10kV团结线与和平线由于市政道路改造', '将10kV团结线58#台区所有引线拆除', '红外热像检测技术是一种离线测温技术', '可以随时科学、省时、高效发现设备过热缺陷对电网设备状态检修', '提供了强有力的技术支撑在设备检修后', '应尽快安排一次检修部位进行红外测温', '避免缺陷酿成事故。把好设备验收质量关'])",12-黑龙江-红外热像检测发现10kV配电线路线夹过热缺陷
输电线路,杆塔,杆塔故障,"['疑似故障点在#116～#117杆塔间', '杆塔所属耐张段为#111～#120该段线路位于济宁市泗水县高峪镇']","('需停电处理', 'B类修检', ['排查输电线路防鸟装置安装情况', '对锈蚀、损坏、安装不到位及防鸟效果差的装置及时更换', '加强山区、林区、水库及河流周边等鸟类活动较为频繁地段输电线路巡视力度', '及时发现并拆除杆塔上鸟巢。进一步深化落实输电线路属地化管理制度', '尤其要加大输电线路鸟巢和通道树木的清理力度'])",121-济宁-2016年11月04日220kV果圣线故障分析报告-重合不成-鸟害-20161104
输电线路,绝缘子,绝缘子故障,"['排除冰闪、污闪、雷击和风偏导致的故障跳闸可能故障点#30塔中相导线、绝缘子、均压环及地线金具均有明显放电痕迹', '铁塔及绝缘子上有大量鸟粪', '#30塔绝缘子结构高度4360mm', '湖北襄樊合成绝缘子长龙Ⅰ线#30塔位于济南市长清区五峰山镇展庄村', '巡视人员发现#30塔B相绝缘子导线线夹、下均压环、伞群、上均压环及地线金具均有明显放电闪络痕迹', '通道内未发现可能导致线路故障的构筑物、超高树木及施工情况3.巡视发现#30塔横担、中相绝缘子、上下均压环及下导线均有大量鸟粪']","('需停电处理', 'C类修检', ['排除建筑物、树木及施工导致的故障跳闸可能结合现场故障点情况及周边情况分析', '制定合理的拆除鸟巢的方案和计划', '加强山区段的巡视力度'])",123-检修公司-500kV长龙Ⅰ线鸟害故障分析报告-重合成功-鸟害-20161112
输电线路,杆塔,杆塔故障,"['聊城公司制定了以#52杆塔为中心', '及杆塔上遗留烧焦的塑料薄膜', '故障杆塔为#54单回耐张角钢塔', '同时对大、小号侧杆塔开展登杆检查']","('需停电处理', 'B类修检', ['排除线路由施工车辆误碰线、树竹放电发生故障的可能性', '经对#54塔登杆检查', '确定是异物引起的故障。从本次故障点查找和故障原因分析中', '未能针对异物隐患对线路通道开展短周期、多频次排查', '加大隐患排查力度', '清理树障', '加强恶劣天气线路特巡等。同时加强线路巡视力度', '特别针对冬季补植树木、施工活动多发、强风天气异物短路等多发隐患开展特巡。加强专业巡视人员、属地护线和社会护线队伍管理'])",124-聊城-220kV汇谭线事故分析报告-重合成功-外力破坏-异物短路-20161129
输电线路,杆塔,杆塔故障,"['青岛公司制定了以220kV西凤线157号杆塔为中心', '巡检人员判断#155-#158号杆塔发生故障的几率较高', '巡视人员首先重点排查了#155-#158号杆塔', '也未发现杆塔有鸟巢、异物', '以及导线、绝缘子、杆塔放电点等']","('需停电处理', 'B类修检', ['同时安排专人驾车对全线进行了排查', '未发现其他路段的导、地线有悬挂漂浮物等异物的现象经过2天的排查', '不能快速有效的查找出故障原因1、充分利用班组大讲堂的方式', '加强运维人员业务培训', '确保线路安全运行。利用明年春秋检对该线路进行隐患清除'])",125-青岛-220kV西凤线跳闸分析报告（2016.12.17）
输电线路,绝缘子,绝缘子故障,"['选取Ⅰ~Ⅸ；聊韶Ⅱ线#90塔下相下导线放电情况聊韶Ⅱ线#90塔下相绝缘子环放电情况聊韶Ⅱ线#90塔下相上均压环放电情况聊韶Ⅱ线#90塔下相均压环、导线鸟粪情况根据上述情况分析可知', '故障点#90塔下相导线、绝缘子、均压环均有明显放电痕迹', '铁塔及绝缘子上有大量鸟粪', '有鸟类在下相绝缘子正上方停留', '#90塔绝缘子结构高度4550mm', '河北硅谷合成绝缘子聊韶Ⅱ线#90塔位于聊城市高唐县赵寨子乡', '巡视人员发现#90塔下相绝缘子上下均压环、导线侧金具有明显放电痕迹1.18日6时51分左右', '通道内未发现可能导致线路故障的构筑物、超高树木及施工情况3.巡视发现#90塔横担、下相绝缘子、上下均压环及下导线均有大量鸟粪']","('需停电处理', 'C类修检', ['排除建筑物、树木及施工导致的故障跳闸可能结合现场故障情况及周边情况分析', '制定合理的拆除鸟巢的方案和计划', '1.加强鸟类活动习性的分析和研究', '加强巡视力度'])",126-检修公司-500kV聊韶Ⅱ线鸟害故障分析报告（检修公司2016.12.19）
输电线路,绝缘子,绝缘子故障,"['红外、紫外热成像检测发现500kV姆舜5482线复合绝缘子发热缺陷经带电登杆红外复测、紫外成像检测', '并有升高趋势姆舜5482线103＃导线大号侧跳线合成绝缘子在进行红外热成像检测', '对图谱的认真分析后发现导线侧第10片合成绝缘子芯棒处有温度异常现象根据设备缺陷判断依据', '判断合成绝缘子串局部发热', '所示作业前对绝缘子串的电晕进行检查', '诊断结果为姆舜5482线103#杆中相大号侧跳线绝缘子串紫外光子数异常作业后检测结果为正常将更换下的合成绝缘子进行外观检查', '和正常复合绝缘子相比较', '试验绝缘子伞套存在大面积的粉化现象', '高压端部伞套表面磨损明显2）试验绝缘子老化迹象明显', '即跳线横担上跳线串两侧适当位置分别组装两套2－2滑车组--2－2滑车组下端通过提升绳套和重锤托盘连接--两侧2－2滑车组同时收紧--提升跳线导线及重锤--待合成绝缘子不受力--拆除上下合成绝缘子连接销子――更换合成绝缘子']","('需停电处理', 'B类修检', ['引起500kV重要线路掉串、断线跳闸事故的发生试验绝缘子因长期运行导致伞群老化开裂引起芯棒进水发热。紫外成像检测高压电气设备外部电晕放电对因设计、制造、安装或检修等原因', '形成的锐角或尖端；制造、安装或检修等原因', '作为目前设备状态检修和带电检测的主要手段对随时掌握高压设备的运行状态、故障早期判断、发展趋势有着重要的意义定期安排运行超过十年以上的复合绝缘子、雷击闪络复合绝缘子红外成像检测有利于判断复合绝缘子运行水平', '需制定、落实带电检测计划；加强对运行十年以上的复合绝缘子带电登杆检查其劣化程度', '应及时进行更换处理', '对设备进行红外、紫外带电检测', '是电力设备安全、稳定运行的重要保障。事实说明红外热成像检测技术能够发现设备由于各类原因引起的过热缺陷', '开展设备停电检修前的红外测温工作', '能够有效指导设备检修', '提高检修工作效率和质量', '保证设备检修后安全运行', '避免重复停电加强设备带电检测工作；定期召开设备运行分析会；加强人员培训包括对测试仪器、被测设备的专项培训', '同一设备历次检测进行纵向比较；各类测试数据综合分析比对', '从而在状态检测中做到与红外成像检测互补的作用；'])",13-浙江-红外、紫外热成像检测发现500kV姆舜5482线复合绝缘子发热
输电线路,nan,故障,"['220kV潍昌I线为输电运维二班管辖线路', '追查运维二班巡视记录', '该班于3月9日对全线进行了巡视', '当时线路通道内没有施工痕迹', '因此未采取相应的特巡防护、危险点管控等措施', '2002年12月20日因原潍掖线开断进昌邑站', '潍昌线该名为潍昌Ⅰ线故障点位于220kV潍昌I线69#-70#档内', '杆塔所属耐张段为67#~73#', '耐张段长度为1990米', '潍昌I线69#、70#杆塔为直线水泥杆', '，呼称高21米故障地段位于昌邑市奎聚街办', '呼称高21米故障地段位于昌邑市奎聚街办', '，线路运行环境良好。故障点B相导线对地距离13米', '故障点B相导线对地距离13米', '据现场推测为移动吊车在吊运集装箱过程中距上方导线距离太近', '']","('需停电处理', 'B类修检', ['特别是加强对特种车辆驾驶员的安全知识教育2、将此处隐患列入一级危险点防控'])",13-潍坊-220kV潍昌Ⅰ线故障分析报告-重合不成-外力破坏-吊车碰线-20150320
输电线路,杆塔,杆塔故障,"['220kV宁海变电站录波器测距14.82公里约在该线路#47杆塔附处', '保护测距18.4公里约在该线路#55杆塔处', '220kV光成变电站录波器测距20.25公里约在该线路#45杆塔处', '保护测距21.2公里约在该线路#43杆塔处', '烟台供电公司制定了以220kV宁成线#48杆塔为中心', '第2巡视小组工作人员巡视至该线路#45杆塔时', '发现该杆塔右相受电侧防振锤处导线有放电痕迹', '#45杆塔处于风口位置', '巡视人员在#45杆塔附近发现一块带有烧焦痕迹的塑料布']","('需停电处理', 'B类修检', ['公司加强了对果树反光膜的回收治理工作', '治理力度亟需加强2、输电线路防外力破坏工作存在盲区', '对线路防护区内易造成线路故障的驱鸟带、反光膜、塑料薄膜等易漂浮物隐患的重视及清理力度仍需加强3、对沿线群众', '全面开展线路隐患的排查工作', '对可能造成线路故障的隐患指定专人限期进行治理、整改2、做好线路沿线群众安全意识教育。进一步加大对塑料薄膜等易漂浮异物的回收治理力度4、严格输电线路通道属地化防护要求', '加强对通道防护工作的监督检查', '不定期通报检查结果'])",13-烟台-220千伏宁成线故障分析报告-重合不成-外力破坏-异物短路-20160310
